	91 
decided	4 
deciding	1 
decision	1 
deck	5 
deep	3 
defend	1 
delight	1 
dense	1 
departure	1 
descend	1 
describe	2 
deserved	1 
destroy	1 
detected	1 
detectors	1 
determination	1 
determined	1 
developed	1 
device	2 
did	7 
didn	32 
die	5 
died	3 
different	2 
difficult	1 
dig	1 
dim	2 
dimmed	1 
dine	2 
dining	3 
dinner	2 
disappointed	2 
disappointment	1 
disbelief	1 
discovered	1 
distance	2 
distant	1 
distinguish	1 
distract	1 
divine	1 
dizzy	1 
do	28 
doc	3 
doctors	1 
does	1 
doing	4 
don	15 
done	2 
doom	1 
door	8 
doubt	1 
down	8 
dragging	1 
drew	1 
dripping	1 
drone	4 
dropped	2 
drowsed	1 
dry	2 
due	1 
duration	1 
during	4 
dwindle	1 
dying	7 
each	5 
eager	2 
ear	1 
early	1 
earnest	1 
ears	1 
earth	13 
easily	1 
eating	1 
eight	1 
either	9 
electricity	1 
elegance	1 
else	14 
embarrassed	1 
emotion	1 
empty	2 
encrusted	1 
end	5 
endangering	1 
ended	1 
engineer	1 
engineers	1 
enormous	1 
enough	11 
entered	4 
equipped	1 
escape	1 
especially	1 
essential	1 
even	23 
evening	2 
eventful	1 
ever	1 
every	1 
everybody	12 
everyone	8 
everything	17 
everywhere	5 
exactly	2 
examined	1 
examining	2 
except	2 
excited	1 
exclaimed	1 
exhausted	1 
exit	1 
expect	4 
expected	2 
expedition	3 
experiments	1 
expertise	1 
explore	3 
exploring	2 
extinguished	1 
eyeing	1 
eyes	11 
fabrics	1 
face	8 
facing	1 
fact	10 
faint	2 
faking	1 
fall	7 
fallen	1 
falling	2 
familiar	1 
family	1 
far	9 
fashioned	1 
fast	2 
father	1 
fats	1 
fault	1 
favorite	1 
fear	3 
feared	1 
feel	3 
feeling	2 
feelings	1 
feet	3 
fell	8 
felt	9 
female	1 
few	7 
field	1 
fiery	1 
fight	4 
fighting	1 
figuratively	1 
figure	1 
figures	1 
finally	5 
find	29 
finding	1 
findings	1 
fingers	1 
finish	2 
finished	1 
fire	4 
first	18 
fit	1 
five	2 
fjb	1 
flashlight	1 
flower	2 
flowers	1 
flowing	1 
flying	5 
fog	2 
foggy	1 
follow	3 
followed	4 
food	5 
fooled	1 
foolish	1 
foot	1 
for	81 
forever	3 
forget	1 
forgive	1 
forms	4 
forsaken	1 
fort	1 
fortunately	1 
forward	1 
fought	1 
found	8 
four	4 
freaking	1 
fresh	2 
friendly	2 
friends	6 
from	22 
front	6 
fruitful	1 
frustrating	1 
fuel	1 
fumbled	1 
fumbling	1 
funny	1 
further	1 
gadget	1 
garments	1 
gather	1 
gathered	4 
gave	3 
gazing	1 
gear	1 
gears	1 
geez	1 
gems	2 
get	16 
getting	3 
giggled	1 
git	1 
give	2 
glad	2 
glances	1 
glory	1 
go	19 
god	3 
going	13 
gone	2 
good	6 
got	14 
grab	2 
grabbed	3 
grass	1 
grateful	2 
great	3 
green	2 
greetings	1 
grin	3 
ground	7 
group	1 
guess	6 
guessed	1 
guest	1 
guests	1 
guki	8 
gun	9 
guns	5 
guys	1 
gym	1 
had	74 
hadn	8 
hair	2 
half	4 
hall	8 
halls	1 
hand	7 
handed	2 
handle	1 
handling	1 
hands	2 
hanging	2 
happen	1 
happened	5 
hard	1 
harm	3 
harmless	1 
hated	1 
have	48 
haven	5 
having	1 
he	91 
head	6 
headed	1 
heading	1 
heads	1 
healthy	1 
hear	7 
heard	7 
heart	3 
hearts	1 
heat	2 
heavy	2 
hell	1 
hello	1 
help	3 
her	135 
here	22 
herself	4 
hesitation	1 
hey	1 
hid	1 
hidden	1 
high	5 
him	23 
himself	4 
his	45 
hit	2 
hold	2 
holding	1 
hole	1 
home	16 
hope	8 
hoped	5 
hoping	5 
horror	1 
hospitable	1 
hot	1 
hour	4 
hours	4 
how	14 
however	2 
hue	1 
huge	8 
hugged	1 
human	5 
humanity	2 
humanoid	1 
humans	6 
humongous	2 
hundred	3 
hundreds	1 
hungry	2 
hurry	1 
hurt	2 
husband	3 
i	61 
iaan	1 
idea	5 
if	31 
ignore	1 
images	1 
immediately	2 
immunity	1 
important	3 
importantly	1 
impossible	1 
in	103 
information	2 
inhabitable	1 
inhabitants	1 
inhabited	1 
initial	1 
insects	4 
inside	2 
instead	1 
instinctively	1 
intel	1 
intense	1 
interesting	1 
into	6 
inviting	1 
irritated	1 
is	23 
isn	2 
it	127 
itinerary	1 
its	3 
jake	38 
jakey	1 
jaws	1 
jessica	8 
job	1 
jobi	1 
join	2 
joined	1 
joking	1 
jokingly	1 
journey	4 
just	35 
karina	2 
keep	2 
keeping	1 
kept	2 
kevin	1 
kid	1 
kids	7 
kill	4 
killed	1 
killing	1 
kind	3 
knew	16 
knock	1 
know	12 
knowing	1 
knows	3 
lab	1 
lack	1 
lame	1 
lamps	1 
land	3 
landed	1 
landing	1 
landscape	1 
large	7 
larger	1 
laser	5 
last	5 
late	3 
later	15 
latter	1 
laugh	2 
laughing	2 
laughter	1 
launched	1 
lay	1 
lazy	1 
lead	3 
leader	5 
leading	2 
learn	2 
learned	1 
least	8 
leather	1 
leave	3 
leaves	2 
leaving	1 
led	1 
left	6 
lesson	1 
let	34 
lie	1 
lied	2 
life	18 
lifeforms	1 
lifetime	1 
light	1 
lights	2 
like	20 
liked	3 
lily	12 
lips	3 
listen	1 
listening	3 
lit	2 
little	8 
live	4 
lived	1 
lives	4 
living	4 
ll	10 
long	11 
longer	2 
look	10 
looked	6 
looking	8 
looks	3 
lose	1 
lost	5 
lot	4 
lots	1 
loud	4 
loudly	1 
love	1 
loved	1 
low	2 
lowered	2 
luckily	1 
lucky	2 
lungs	1 
lurking	1 
lush	1 
lying	1 
m	9 
ma	1 
mad	1 
made	8 
main	2 
maintenance	1 
make	17 
making	3 
mako	1 
males	1 
man	4 
managed	1 
many	3 
mapped	1 
married	1 
masks	2 
master	1 
match	3 
matter	1 
mattered	2 
max	6 
maximum	1 
may	1 
maybe	11 
me	9 
mean	8 
means	3 
meant	5 
meanwhile	2 
measuring	1 
meet	1 
members	5 
memories	1 
men	3 
mesmerized	2 
metal	1 
middle	3 
might	6 
mika	1 
mike	1 
mile	1 
miles	2 
military	1 
mind	5 
minds	4 
mine	1 
minerals	1 
minute	2 
minutes	5 
miss	1 
missed	1 
missing	1 
mission	1 
mist	1 
mixture	2 
mock	1 
mom	6 
moment	3 
mood	2 
more	13 
morning	6 
most	8 
mostly	1 
move	1 
moved	3 
movie	1 
movies	1 
moving	1 
much	7 
mum	1 
mumbled	2 
muscles	2 
muscular	1 
music	2 
must	4 
mutiny	1 
muttered	1 
my	4 
name	5 
nasty	1 
near	1 
nearby	1 
necessarily	1 
need	8 
needed	6 
needs	2 
neither	2 
nervous	1 
nervously	1 
never	7 
nevermind	1 
new	15 
news	1 
next	11 
nice	1 
night	4 
no	31 
nobody	9 
noise	2 
none	3 
nonetheless	1 
nope	1 
nor	1 
not	41 
nothing	9 
notice	1 
noticed	1 
now	30 
nuclear	2 
nuisance	1 
numb	1 
number	1 
numbered	1 
numbers	1 
object	1 
observe	1 
observing	1 
obvious	4 
odd	3 
oddly	1 
of	128 
off	4 
oh	1 
ok	15 
old	6 
older	1 
on	83 
onboard	1 
once	1 
one	14 
ones	1 
only	18 
open	3 
opened	3 
operation	1 
opinion	2 
or	37 
orange	1 
ordered	1 
ordinary	1 
other	18 
others	4 
otherwise	4 
our	32 
ourselves	3 
out	30 
outside	1 
over	5 
own	7 
oxygen	3 
pace	2 
packed	1 
paid	1 
pale	1 
parents	13 
part	3 
party	1 
passed	2 
passion	1 
patted	1 
patting	1 
pause	1 
pay	3 
paying	1 
peaceful	3 
peacefully	1 
pensively	1 
people	9 
perfect	1 
perhaps	1 
perilous	1 
petals	1 
petty	1 
phone	5 
photos	1 
picked	1 
piece	3 
pigeons	2 
pillow	1 
pipes	1 
pitch	2 
place	3 
placed	1 
plainer	1 
plan	1 
planet	54 
plants	8 
plates	1 
playground	1 
pleasant	1 
please	2 
plenty	1 
pocket	1 
point	2 
pointed	1 
pointing	2 
poked	1 
poor	1 
popped	1 
possible	4 
possibly	1 
pouring	2 
pouting	1 
precious	1 
preparing	1 
pretend	1 
pretended	1 
pretending	1 
pretty	4 
primitive	1 
probably	6 
procession	4 
promised	1 
promising	1 
pronto	1 
protect	6 
protection	2 
proud	1 
prove	2 
provoked	1 
pukori	14 
pulled	1 
purity	1 
push	1 
pushed	2 
pushing	2 
put	6 
putting	3 
pyjamas	1 
quality	1 
quarrel	1 
quarters	2 
quick	1 
quickly	5 
quietly	1 
quite	1 
rabbit	1 
race	7 
radiation	1 
rain	4 
raining	1 
raise	1 
raised	3 
ran	1 
range	1 
rather	3 
raw	1 
re	7 
reach	1 
reached	3 
react	1 
reacted	2 
read	2 
reading	1 
ready	5 
real	1 
reality	1 
realize	1 
realized	2 
really	9 
rear	1 
reason	2 
reckless	1 
reckoned	1 
recomposed	1 
recon	1 
recover	1 
recovered	1 
regarding	1 
reins	1 
relax	1 
relaxed	3 
relieved	3 
reluctant	1 
remain	1 
remained	2 
remember	1 
reminded	2 
required	1 
resemble	1 
resembled	2 
rest	16 
results	2 
resume	1 
return	10 
returned	3 
rich	1 
ricky	7 
right	14 
ripple	1 
risk	1 
risked	1 
river	5 
rolling	1 
room	8 
rooms	1 
rope	2 
rules	2 
run	5 
running	5 
rushed	1 
rustle	1 
s	52 
sacrifice	2 
sad	1 
sadness	1 
safe	10 
safely	1 
safest	1 
said	39 
salvation	1 
same	3 
samples	5 
sat	1 
satchel	1 
savage	1 
savagery	1 
save	5 
saving	2 
saw	6 
say	8 
saying	3 
scanners	2 
scanning	1 
scared	5 
scary	2 
scenario	1 
scientist	1 
scientists	1 
scorching	1 
screamed	3 
screen	3 
scroll	1 
search	3 
searched	1 
searching	1 
seat	1 
seated	2 
seats	1 
seconds	1 
secretly	1 
secrets	2 
see	19 
seem	4 
seemed	10 
seen	7 
semi	1 
send	2 
sending	1 
sent	1 
sentence	2 
serious	1 
served	1 
services	1 
set	2 
severe	1 
share	1 
she	138 
shelter	6 
shiny	1 
ship	25 
shiver	1 
shock	1 
shoot	1 
shooting	1 
shore	1 
short	2 
shot	1 
should	2 
shoulder	2 
show	6 
showed	3 
shows	1 
shut	1 
sick	3 
sigh	1 
sight	2 
sign	2 
signs	1 
silent	1 
silhouettes	1 
silly	1 
simple	3 
simply	1 
since	1 
sis	5 
sister	5 
sit	1 
situation	1 
six	1 
size	1 
skin	1 
sleep	1 
sleepy	1 
slender	2 
slight	1 
slipped	2 
slowed	1 
slowly	4 
small	5 
smart	2 
smell	3 
smelled	2 
smile	1 
snack	1 
snacks	2 
snapping	1 
so	51 
soaking	2 
soft	1 
softer	1 
software	1 
soil	3 
soldier	1 
soldiers	11 
some	13 
someone	1 
something	12 
somewhere	6 
songs	1 
soon	13 
sooner	1 
sophisticated	1 
sorrow	1 
sorry	5 
sort	3 
souls	1 
source	2 
space	2 
spaceship	2 
spacious	1 
spark	1 
sparks	1 
speak	1 
species	2 
speedy	1 
spend	1 
splashing	1 
spoke	3 
spooky	1 
spot	1 
spring	1 
squabble	1 
stake	1 
stand	4 
standing	6 
stars	1 
start	3 
started	6 
stay	6 
stayed	2 
steadily	1 
steady	1 
step	2 
steve	9 
still	19 
stone	2 
stones	1 
stood	2 
stools	2 
stop	2 
stopped	4 
storm	1 
stormed	1 
storms	2 
story	1 
stout	1 
strange	3 
strangled	1 
stress	1 
stressed	1 
stroll	1 
strong	2 
stronger	2 
struck	1 
struggled	1 
study	2 
stuff	1 
stump	1 
stupid	4 
such	4 
sudden	1 
suddenly	2 
suffered	1 
suitable	2 
suku	1 
sun	5 
sundown	1 
support	4 
supported	1 
supposed	1 
supremacy	1 
supreme	1 
sure	18 
surely	1 
surprise	2 
surprised	1 
surrounded	1 
surrounding	4 
survive	2 
survived	2 
sustain	1 
sweetness	1 
swiftly	1 
swim	1 
symbol	1 
t	109 
table	1 
tables	1 
take	6 
taking	3 
talk	1 
talking	2 
tall	1 
tasted	1 
tasty	1 
teach	1 
team	1 
tear	1 
tears	3 
teased	1 
ted	6 
teenager	1 
teeth	5 
telepathically	2 
tell	3 
ten	3 
tensed	2 
terrified	3 
testing	1 
tests	2 
than	11 
thank	1 
thanked	1 
that	100 
the	369 
their	61 
them	65 
themselves	3 
then	31 
there	36 
thermo	2 
these	7 
they	231 
thick	1 
thing	11 
things	5 
think	19 
thinking	1 
thinks	1 
this	54 
thorns	1 
thorny	1 
those	9 
though	5 
thought	12 
thoughts	1 
thousands	1 
three	1 
threw	1 
through	9 
thunder	2 
tied	3 
till	4 
time	18 
times	1 
tiniest	1 
tired	6 
tiring	1 
to	249 
together	1 
told	5 
tomorrow	3 
tone	2 
too	26 
took	8 
torrents	1 
total	1 
touch	4 
towards	7 
tracked	1 
tracking	2 
tracks	1 
trapdoor	5 
travel	1 
treasure	1 
tree	1 
trees	1 
trembling	1 
trick	1 
tried	1 
trip	4 
trish	37 
trisha	6 
triumphantly	1 
trouble	1 
true	1 
trust	2 
trusted	1 
truth	4 
try	4 
trying	5 
tunnel	1 
tunnels	1 
turn	2 
turned	2 
two	26 
uh	2 
uhh	1 
unacceptable	1 
unapproachable	1 
unarmed	1 
under	3 
underground	5 
understand	2 
understood	1 
undisturbed	1 
uneventful	1 
unicorns	1 
unknown	3 
unless	2 
unlike	1 
unlock	1 
until	9 
untrained	1 
up	19 
upset	3 
urge	1 
us	28 
use	1 
used	3 
uttered	4 
vain	2 
ve	8 
vegan	1 
vegetation	10 
verdict	2 
very	6 
victory	1 
vigilant	1 
violence	1 
visible	3 
vital	1 
voice	5 
volunteers	1 
vouch	1 
wad	2 
wait	2 
waiting	5 
wake	1 
walk	1 
walked	1 
walking	4 
walls	2 
wander	2 
wandering	1 
want	15 
wanted	8 
wants	1 
war	5 
warm	1 
warming	1 
warmth	1 
warn	1 
was	196 
wasn	9 
waste	1 
watched	1 
watching	2 
water	9 
watery	1 
wave	1 
way	17 
ways	1 
we	87 
weapon	2 
weapons	7 
wear	1 
wearing	2 
weather	2 
weird	1 
welcome	5 
welcoming	1 
well	16 
went	12 
were	114 
weren	5 
wet	2 
what	44 
whatever	3 
whatsoever	1 
when	25 
where	4 
whether	2 
which	16 
while	22 
whirls	1 
whisper	2 
whispered	3 
who	15 
whole	2 
whom	2 
whose	1 
why	3 
wife	4 
will	18 
willing	1 
wind	3 
wiped	2 
wiping	1 
wise	1 
wish	1 
wished	3 
with	32 
without	6 
woke	2 
woman	2 
women	2 
won	4 
wonder	4 
wondered	1 
wonderful	1 
wondering	2 
wooden	1 
word	1 
words	5 
work	1 
working	3 
worried	3 
worrying	1 
worse	1 
worth	2 
would	28 
wouldn	11 
wrap	2 
wrists	1 
x	4 
yeah	5 
year	4 
years	5 
yell	1 
yelled	1 
yelling	1 
yep	1 
yes	2 
yesterday	1 
yet	3 
you	104 
young	1 
younger	1 
youngest	1 
your	16 
yours	1 
yourselves	1 
